,name_game_2weeks,playtime_2weeks_game_count,playtime_2weeks_game_max,playtime_2weeks_game_median,playtime_2weeks_game_mean,playtime_2weeks_game_min,appid_game_2weeks,playtime_2weeks_game,playtime_forever_game_2weeks,steam_appid_2weeks_game_,price_overview_2weeks_game_,genres_2weeks_game_,developers_2weeks_game_,publishers_2weeks_game_,categories_2weeks_game_,release_date_2weeks_game_,metacritic_2weeks_game_
58,TabletopSimulator,28,5841,291.0,672.6071428571429,13,286160,270,7123,286160,19,"['Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",['BerserkGames'],['BerserkGames'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'TrackedControllerSupport', 'VRSupported', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'Includesleveleditor', 'RemotePlayTogether', 'FamilySharing']","Jun5,2015",No score
59,Hunt:Showdown,27,4615,487.0,924.4814814814815,4,594650,492,17107,594650,39,['Action'],['Crytek'],['Crytek'],"['Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'In-AppPurchases', 'SteamLeaderboards', 'RemotePlayonTablet', 'RemotePlayonTV']","Aug27,2019",81
60,ContentWarning,26,840,130.5,192.6153846153846,53,2881650,280,280,2881650,6,"['Action', 'Adventure', 'Indie']","['Skog', 'Zorro', 'Wilnyl', 'Philip', 'thePetHen']",['LandfallPublishing'],"['Multi-player', 'Co-op', 'OnlineCo-op', 'FamilySharing']","Apr1,2024",No score
61,RedDeadRedemption2,26,4517,310.5,657.2692307692307,20,1174180,1271,49679,1174180,57,"['Action', 'Adventure']",['RockstarGames'],['RockstarGames'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'In-AppPurchases', 'PartialControllerSupport', 'RemotePlayonPhone', 'RemotePlayonTablet']","5Dec,2019",93
62,Warframe,26,11271,660.0,1665.1538461538462,2,230410,3389,42420,230410,0,"['Action', 'RPG', 'FreetoPlay']",['DigitalExtremes'],['DigitalExtremes'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamWorkshop', 'In-AppPurchases', 'RemotePlayonPhone', 'RemotePlayonTablet']","Mar25,2013",69
63,Squad,26,2992,557.5,861.3076923076923,25,393380,508,24751,393380,49,"['Action', 'Indie', 'MassivelyMultiplayer', 'Strategy']",['Offworld'],['Offworld'],"['Multi-player', 'PvP', 'OnlinePvP', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'ValveAnti-Cheatenabled']","Sep23,2020",No score
64,BloonsTD6,25,961,91.0,197.32,1,960090,91,67408,960090,4,['Strategy'],['NinjaKiwi'],['NinjaKiwi'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'In-AppPurchases', 'RemotePlayonPhone', 'RemotePlayonTablet', 'FamilySharing']","Dec17,2018",No score
65,Garry'sMod,25,4945,392.0,1071.84,6,4000,4068,381581,4000,4,"['Casual', 'Indie', 'Simulation']",['FacepunchStudios'],['Valve'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'Captionsavailable', 'SteamWorkshop', 'SteamCloud', 'ValveAnti-Cheatenabled', 'Includesleveleditor', 'IncludesSourceSDK', 'RemotePlayonTablet', 'FamilySharing']","29Nov,2006",No score
66,Phasmophobia,25,1749,199.0,449.72,13,739630,106,2637,739630,10,"['Action', 'Indie', 'EarlyAccess']",['KineticGames'],['KineticGames'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'TrackedControllerSupport', 'VRSupported', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'FamilySharing']","18Sep,2020",No score
67,ANIMALWELL,25,1692,345.0,523.92,21,813230,41,41,813230,24,"['Action', 'Adventure', 'Indie']",['BillyBasso'],['Bigmode'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamCloud', 'FamilySharing']","May9,2024",91
68,Battlefield™2042,25,1709,259.0,342.48,3,1517290,50,3223,1517290,57,"['Action', 'Adventure', 'Casual']",['DICE'],['ElectronicArts'],"['Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'In-AppPurchases', 'HDRavailable']","19Nov,2021",No score
69,HellLetLoose,25,1846,462.0,670.48,18,686810,993,2774,686810,49,"['Action', 'Indie', 'MassivelyMultiplayer', 'Simulation', 'Strategy']",['Team17'],['Team17'],"['Multi-player', 'PvP', 'OnlinePvP', 'SteamAchievements', 'PartialControllerSupport', 'FamilySharing']","Jul27,2021",79
70,FINALFANTASYXIVOnline,24,10606,1829.5,2780.25,29,39210,7314,14296,39210,19,"['MassivelyMultiplayer', 'RPG']",['SquareEnix'],['SquareEnix'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'PartialControllerSupport', 'RemotePlayonTablet', 'FamilySharing']","Feb18,2014",83
71,Aimlabs,24,694,42.0,112.58333333333333,2,714010,35,3049,714010,0,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'FreetoPlay']","['StateSpaceLabs,Inc.']","['StateSpaceLabs,Inc.']","['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamWorkshop', 'Stats', 'SteamLeaderboards']","Jun16,2023",No score
72,EuroTruckSimulator2,23,5086,105.0,482.04347826086956,16,227300,105,23619,227300,4,"['Indie', 'Simulation']",['SCSSoftware'],['SCSSoftware'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'Includesleveleditor', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayTogether', 'FamilySharing']","Oct12,2012",79
