,name,playtime_forever_count,playtime_forever_mean,playtime_forever_median,playtime_forever_max,playtime_forever_min,playtime_forever_std,playtime_forever_cv,playtime_forever,price,genres,developers,publishers,categories,release_date
556,Aion,2,16503.5,16503.5,18018,14989,2141.8264402140526,0.1297801339239587,14989,0,Unknown,Unknown,Unknown,Unknown,Unknown
558,AlbionOnline,26,22959.76923076923,11102.0,107405,0,32170.21611902251,1.4011558999430194,5249,0,"['MassivelyMultiplayer', 'RPG', 'FreetoPlay']",['SandboxInteractiveGmbH'],['SandboxInteractiveGmbH'],"['Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'In-AppPurchases', 'PartialControllerSupport']","May16,2018"
584,Alchemyland,1,0.0,0.0,0,0,,,0,0,Unknown,Unknown,Unknown,Unknown,Unknown
585,Alien:Isolation,2,616.5,616.5,1233,0,871.8626612030131,1.4142135623730951,0,31,['Action'],"['CreativeAssembly', 'FeralInteractive(Mac)', 'FeralInteractive(Linux)']","['SEGA', 'FeralInteractive(Mac)', 'FeralInteractive(Linux)']","['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamCloud', 'RemotePlayonTV', 'FamilySharing']","6Oct,2014"
587,AlienHostage,1,0.0,0.0,0,0,,,0,0,"['Casual', 'Indie', 'Simulation', 'Strategy']",['FourWingedStudio'],['Conglomerate5'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'FamilySharing']","1Oct,2018"
588,AlienSwarm:ReactiveDrop,5,0.0,0.0,0,0,0.0,,0,0,"['Action', 'FreetoPlay']",['ReactiveDropTeam'],['ReactiveDropTeam'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'Captionsavailable', 'SteamWorkshop', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'Includesleveleditor', 'IncludesSourceSDK']","Apr20,2017"
593,Aliens:ColonialMarines,1,0.0,0.0,0,0,,,0,29,['Action'],['GearboxSoftware'],['SEGA'],"['Single-player', 'Multi-player', 'Co-op', 'SteamAchievements', 'Fullcontrollersupport', 'RemotePlayonTV', 'FamilySharing']","May1,2012"
594,Aliensvs.Predator,4,26721.5,12161.0,74414,8150,31883.573037955874,1.1931805114965803,74414,14,['Action'],['Rebellion'],['SEGA'],"['Single-player', 'Multi-player', 'Co-op', 'SteamAchievements', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'FamilySharing']","Feb16,2010"
598,Altitude,1,755.0,755.0,755,755,,,755,0,"['Action', 'Casual', 'FreetoPlay', 'Indie', 'Simulation', 'Strategy']",['NimblyGames'],['NimblyGames'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'PartialControllerSupport', 'Stats', 'Includesleveleditor']","Dec4,2009"
599,AmazingAdventuresAroundtheWorld,1,8575.0,8575.0,8575,8575,,,8575,4,['Casual'],['SpinTopGames'],"['PopCapGames,Inc.']","['Single-player', 'FamilySharing']","Apr15,2009"
