column1,name,playtime_forever_count,playtime_forever_mean,playtime_forever_median,playtime_forever_max,playtime_forever_min,playtime_forever_std,playtime_forever_cv,playtime_forever,price,genres,developers,publishers,categories,release_date,hours_per_dollar
20730,SouthPark™:TheStickofTruth™,6,3121.666748046875,2369,6012,1643,1744.6851806640625,0.5588954091072083,2251,29,"['Action', 'Adventure', 'RPG']",['ObsidianEntertainment'],['Ubisoft'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Mar3,2014",0.012241452089489235
23405,Trine2,3,1871.3333740234375,1583,3702,329,1704.8853759765625,0.9110538363456726,3702,19,"['Action', 'Adventure', 'Indie']",['Frozenbyte'],['Frozenbyte'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'Includesleveleditor', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Jun6,2013",0.012002526847757423
3373,CarMechanicSimulator2018,4,1758.75,1600,3835,0,1876.5604248046875,1.0669852495193481,353,19,"['Racing', 'Simulation']",['RedDotGames'],['PlayWayS.A.'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'Stats', 'Includesleveleditor', 'FamilySharing']","Jul28,2017",0.011875
3430,Chivalry2,3,10673,3320,26417,2282,13644.578125,1.278420090675354,3320,39,"['Action', 'MassivelyMultiplayer']",['TornBannerStudios'],['TripwirePresents'],"['Multi-player', 'PvP', 'OnlinePvP', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'In-AppPurchases', 'PartialControllerSupport']","Jun12,2022",0.011746987951807229
9834,DyingLight2:ReloadedEdition,12,4575.66650390625,5223.5,10199,0,3752.458740234375,0.8200900554656982,4903,59,"['Action', 'Adventure', 'RPG']",['Techland'],['Techland'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonTV', 'FamilySharing']","Feb3,2022",0.01129510864362975
1883,BattleBitRemastered,13,2801.076904296875,1242,11110,0,3413.60986328125,1.2186776399612427,0,14,"['Action', 'MassivelyMultiplayer', 'EarlyAccess']","['SgtOkiDoki', 'Vilaskis', 'TheLiquidHorse']",['SgtOkiDoki'],"['Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'PartialControllerSupport', 'FamilySharing']","Jun15,2023",0.011272141706924315
2655,CallofDuty:BlackOps,20,9359.9501953125,3494,30868,0,10511.5185546875,1.123031497001648,0,39,['Action'],['Treyarch'],['Activision'],"['Single-player', 'Multi-player', 'Co-op', 'SteamAchievements', 'PartialControllerSupport', 'ValveAnti-Cheatenabled', 'FamilySharing']","Nov9,2010",0.011161991986262164
20826,Spyro™ReignitedTrilogy,5,2980.39990234375,3635,4656,165,1745.8216552734375,0.5857675671577454,3635,39,"['Action', 'Adventure']","['ToysforBob', 'IronGalaxyStudios']",['Activision'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Sep3,2019",0.010729023383768913
12203,GolfWithYourFriends,46,3549.9130859375,1332,29023,0,6206.515625,1.7483570575714111,7659,14,"['Casual', 'Indie', 'Sports']","['BlacklightInteractive', 'Team17']",['Team17'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Shared/SplitScreen', 'SteamAchievements', 'SteamWorkshop', 'PartialControllerSupport', 'Stats', 'Includesleveleditor', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayTogether', 'FamilySharing']","May19,2020",0.010510510510510511
9616,Divinity:OriginalSinEnhancedEdition,3,2837,3778,4733,0,2502.885009765625,0.8822294473648071,0,39,"['Adventure', 'Indie', 'RPG', 'Strategy']",['LarianStudios'],['LarianStudios'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'Captionsavailable', 'SteamCloud', 'RemotePlayTogether', 'FamilySharing']","Oct27,2015",0.010322922181048173
